row_idx,column_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,intent_label,predicted_intent
147,statuses_count,1,,,0.9188582406082514,0.9805654383683708,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,32.0,0.8,-1.0,39.0,7.0,3.6888794541139363,2.0794415416798357,3.0,2122.0,3061.0,1,1.0
159,statuses_count,1,,,0.9188582406082514,0.9693267353012212,2,1,0.3232492372862846,1.0,0.5,1.0,0,0,321.0,0.9756838905775076,-1.0,328.0,7.0,5.796057750765372,2.0794415416798357,3.0,1822.0,3061.0,1,1.0
201,statuses_count,1,,,0.9188582406082514,0.9650719934185678,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,1993.0,0.9960019990004998,-1.0,2000.0,7.0,7.601402334583733,2.0794415416798357,3.0,1071.0,3061.0,1,1.0
243,statuses_count,1,,,0.9188582406082514,0.8922487418282323,2,1,0.3232492372862846,1.0,0.5,1.0,0,0,1125.0,0.9929390997352162,-1.0,1132.0,7.0,7.0326242610280065,2.0794415416798357,3.0,186.0,3061.0,1,1.0
253,statuses_count,0,,,0.9188349053998566,0.9819075462111974,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,2529.0,0.999604743083004,-1.0,2529.0,0.0,7.835974581721566,0.0,3.0,1431.0,0.0,-1,-1.0
259,statuses_count,1,,,0.9188582406082514,0.9578194106494341,2,1,0.3232492372862846,1.0,0.5,1.0,0,0,2559.0,0.9968835216205687,-1.0,2566.0,7.0,7.8504931808711405,2.0794415416798357,3.0,1457.0,3061.0,1,1.0
275,statuses_count,1,,,0.9188582406082514,0.8775123577107835,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,236.0,0.9672131147540983,-1.0,243.0,7.0,5.497168225293202,2.0794415416798357,3.0,1365.0,3061.0,1,1.0
287,statuses_count,1,,,0.9188582406082514,0.8341652746285688,2,1,0.3232492372862846,1.0,0.5,1.0,0,0,853.0,0.9907084785133565,-1.0,860.0,7.0,6.7580945044277305,2.0794415416798357,3.0,3373.0,3061.0,1,1.0
300,statuses_count,1,,,0.9188582406082514,0.9846331652237452,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,2345.0,0.996600084997875,-1.0,2352.0,7.0,7.763446388727362,2.0794415416798357,3.0,1317.0,3061.0,1,1.0
320,statuses_count,0,,,0.9188349053998566,0.9174779690805059,3,1,0.3232492372862846,1.0,0.5,1.0,0,0,115.0,0.9913793103448276,-1.0,115.0,0.0,4.7535901911063645,0.0,3.0,210.0,0.0,-1,
325,statuses_count,1,,,0.9188582406082514,0.9711914851400693,2,1,0.3232492372862846,1.0,0.5,1.0,0,0,39.0,0.8297872340425532,-1.0,46.0,7.0,3.8501476017100584,2.0794415416798357,3.0,2383.0,3061.0,1,1.0
332,statuses_count,1,,,0.9188582406082514,0.9568083294056953,2,1,0.3232492372862846,1.0,0.5,1.0,0,0,113.0,0.9338842975206612,-1.0,120.0,7.0,4.795790545596741,2.0794415416798357,3.0,266.0,3061.0,1,1.0
388,statuses_count,1,,,0.9188582406082514,0.9748235769907228,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,1077.0,0.992626728110599,-1.0,1084.0,7.0,6.98933526597456,2.0794415416798357,3.0,115.0,3061.0,1,1.0
411,statuses_count,0,,,0.9188349053998566,0.9997025761010011,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,116.0,0.9914529914529915,-1.0,116.0,0.0,4.762173934797756,0.0,3.0,222.0,0.0,-1,-1.0
430,statuses_count,1,,,0.9188582406082514,0.9712684913277724,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,673.0,0.9882525697503671,-1.0,680.0,7.0,6.523562306149512,2.0794415416798357,3.0,3008.0,3061.0,1,1.0
431,statuses_count,0,,,0.9188349053998566,0.5836333435551193,2,1,0.3232492372862846,1.0,0.5,1.0,0,0,10609.0,0.9999057492931197,-1.0,10609.0,0.0,9.26955223160803,0.0,3.0,83.0,0.0,-1,-1.0
440,statuses_count,0,,,0.9188349053998566,0.9823693833213443,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,2.0,0.6666666666666666,-1.0,2.0,0.0,1.0986122886681098,0.0,3.0,1069.0,0.0,-1,-1.0
450,statuses_count,1,,,0.9188582406082514,0.97074884957283,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,18.0,0.6923076923076923,-1.0,25.0,7.0,3.258096538021482,2.0794415416798357,3.0,1406.0,3061.0,1,1.0
456,statuses_count,1,,,0.9461609132320727,0.8640240738823418,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,4091.0,0.11236541419468249,1.0,36407.0,40498.0,10.502543809696478,10.60903256143177,3.0,1995.0,2184.0,-1,-1.0
466,statuses_count,0,,,0.9188349053998566,0.7865114454849921,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,1251.0,0.9992012779552716,-1.0,1251.0,0.0,7.132497551660044,0.0,3.0,332.0,0.0,-1,-1.0
509,statuses_count,0,,,0.9188349053998566,0.9406042273522316,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,3653.0,0.9997263273125342,-1.0,3653.0,0.0,8.203577736937952,0.0,3.0,2003.0,0.0,-1,-1.0
530,statuses_count,1,,,0.9188582406082514,0.9942449375616028,2,1,0.3232492372862846,1.0,0.5,1.0,0,0,143.0,0.9470198675496688,-1.0,150.0,7.0,5.017279836814924,2.0794415416798357,3.0,624.0,3061.0,1,1.0
544,statuses_count,1,,,0.9188582406082514,0.9329256103498311,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,2331.0,0.9965797349294571,-1.0,2338.0,7.0,7.757478766584179,2.0794415416798357,3.0,1309.0,3061.0,1,1.0
569,statuses_count,0,,,0.9188349053998566,0.5162775312917081,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,6798.0,0.9998529195469922,-1.0,6798.0,0.0,8.82453082152646,0.0,3.0,3006.0,0.0,-1,-1.0
570,statuses_count,1,,,0.9188582406082514,0.9695851560661886,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,76.0,0.9047619047619048,-1.0,83.0,7.0,4.430816798843313,2.0794415416798357,3.0,3317.0,3061.0,1,1.0
