row_idx,col,y_true,y_pred,delta_score
1574,ARANC_NAC,-1,-1,0.0
1575,PRE_UNIT,-1,1,2.3758723607109573
1587,PRE_UNIT,-1,1,1.3954255210205133
1589,ARANC_NAC,-1,-1,0.0
1596,PRE_UNIT,-1,-1,-2.3187511831109475
1597,ARANC_NAC,-1,-1,0.0
1598,PRE_UNIT,-1,1,1.8447563703704475
1602,ARANC_NAC,-1,-1,0.0
1607,PRE_UNIT,-1,1,0.3054832279669881
1608,PRE_UNIT,-1,1,0.3054832279669881
1610,PRE_UNIT,-1,1,3.2908386406755312
1613,ARANC_ALA,-1,1,1.7407513049183763
1614,ARANC_ALA,-1,1,1.7407513049184047
1615,PRE_UNIT,-1,1,0.5755377098438998
1629,PRE_UNIT,-1,-1,-0.8099960732245393
1644,ARANC_NAC,-1,-1,0.0
1647,PRE_UNIT,-1,1,1.1503479630673041
1648,PRE_UNIT,-1,1,1.355947204730569
1649,PRE_UNIT,-1,1,1.299594268179419
1657,ARANC_ALA,-1,-1,0.0
1660,ARANC_ALA,-1,-1,0.0
1663,PRE_UNIT,-1,1,1.564667825927529
1677,ARANC_NAC,-1,-1,0.0
1682,PRE_UNIT,-1,-1,0.0
1682,ARANC_NAC,-1,-1,0.0
1684,ARANC_NAC,-1,-1,0.0
1690,PRE_UNIT,-1,-1,-0.23645188348186252
1691,PRE_UNIT,-1,-1,-0.23657808237146583
1692,PRE_UNIT,-1,1,1.8970324153775238
1728,ARANC_NAC,-1,-1,0.0
1729,ARANC_NAC,-1,-1,0.0
1738,PRE_UNIT,-1,1,1.3257904959834832
1740,PRE_UNIT,-1,1,1.272255364429867
1745,PRE_UNIT,-1,1,1.1118768935731396
1761,PRE_UNIT,-1,1,7.21700312934847
1762,PRE_UNIT,-1,1,1.3241811526031881
1772,PRE_UNIT,-1,1,5.005383431941311
1773,PRE_UNIT,-1,1,0.785807339006567
1792,ARANC_NAC,-1,-1,0.0
1804,PRE_UNIT,-1,1,5.036282944583746
1805,PRE_UNIT,-1,1,0.966748729462509
1819,PRE_UNIT,-1,1,5.216544768414693
1820,PRE_UNIT,-1,1,0.7928886822389387
1866,ARANC_NAC,-1,-1,0.0
1867,ARANC_NAC,-1,-1,0.0
1896,PRE_UNIT,-1,1,8.42097593367437
1897,PRE_UNIT,-1,1,1.3473503676541583
1904,PRE_UNIT,-1,1,5.639107192030451
1905,PRE_UNIT,-1,1,0.803367584362249
