chunk_id,chunk_time_sec
723,1.3042027540504932
724,1.48617850150913
725,1.3738728202879429
726,1.3774465806782246
727,5.307844084687531
728,1.4961592042818666
729,1.4161103395745158
730,1.4290785193443298
731,5.672120030038059
732,1.4304795088246465
733,1.3151193829253316
734,1.3089310936629772
735,1.3553343433886766
736,1.4962482582777739
737,1.3088517095893621
738,1.2285302132368088
739,1.2633950095623732
740,2.295694191940129
741,1.3734636846929789
742,1.4964421791955829
743,1.327610901556909
744,1.4241184880957007
745,1.6688925167545676
746,1.3330495925620198
747,1.0476014018058777
748,1.4328676657751203
749,1.6384625332430005
750,1.320410018786788
751,1.51471175160259
752,4.81058191973716
753,1.3317705234512687
754,1.5393370082601905
755,1.418249450623989
756,1.6213888255879283
757,1.5354706952348351
758,1.4211777364835143
759,1.7189846569672227
760,1.6022747829556465
761,1.8090647365897894
762,1.5201065661385655
763,1.5356107139959931
764,1.7114661112427711
765,1.6204636208713055
766,1.727997476235032
767,1.6137907383963466
768,1.6214164290577173
769,1.8046686509624124
770,1.420281303115189
771,3.2469558976590633
772,2.776488399133086
773,3.062713725492358
774,4.6070958115160465
775,3.1646231580525637
776,3.068902350962162
777,3.1751805087551475
778,3.162860045209527
779,2.4747333377599716
780,2.969481211155653
781,2.890129960142076
782,3.2765815062448382
783,2.9663305832073092
784,2.8879619743674994
785,2.8804550925269723
786,2.8805801710113883
787,2.96244150493294
788,3.0797277744859457
789,2.8727909261360765
790,2.6080818539485335
791,3.075180634856224
792,2.796638086438179
793,5.812843527644873
794,1.3232960579916835
795,1.420855076983571
796,1.6199039053171873
797,5.718792201951146
798,1.306845834478736
799,1.6129844198003411
800,1.3255163105204701
801,1.3201072718948126
802,1.4303153930231929
803,1.4338450962677598
804,1.5194024564698339
805,1.3439095234498382
806,1.425048504024744
807,1.4237437946721911
808,1.419020226225257
809,1.3273253524675965
810,1.5258468054234982
811,1.428059432655573
812,5.796073257923126
813,1.423034661449492
814,5.7983072604984045
815,1.3294976213946939
816,1.8218639846891165
817,1.4224412767216563
818,1.4681683834642172
819,1.3389252750203013
820,1.723470794968307
821,1.7154074665158987
822,4.722799406386912
823,4.533908574841917
824,1.3255224386230111
825,1.7244646651670337
826,1.6162163335829973
827,2.223456908017397
828,1.524984933435917
829,1.2289178846403956
830,1.323641188442707
831,1.5176404248923063
832,1.3331945268437266
833,1.6146969124674797
834,1.3330841241404414
835,6.453937196172774
836,1.3282943731173873
837,1.801127520389855
838,1.4277152689173818
839,1.3357311710715294
840,1.3675965825095773
841,1.3862419063225389
842,1.7265912387520075
843,1.5060004219412804
844,1.6120591461658478
845,2.4016345106065273
846,1.324281046167016
847,1.3281968273222446
848,5.981451131403446
849,3.2659902116283774
850,1.121050569228828
851,1.129378531128168
852,1.5194455869495869
853,1.7155627254396677
854,1.426932556554675
855,1.4293354582041502
856,1.6046447455883026
857,1.9058190183714032
858,1.5165030332282186
859,1.3365179393440485
860,1.0558930905535817
861,1.5275696273893118
862,1.5424808794632554
863,1.3285097926855087
864,1.3233947027474642
865,1.4301568502560258
866,1.4495011055842042
867,1.52170813921839
868,1.2501224977895617
869,2.223572294227779
870,1.4346055071800947
871,1.3330519227311015
872,1.4338339297100902
873,1.43826515506953
874,1.521942294202745
875,1.3522305255755782
876,1.4510876452550292
877,1.4361831434071064
878,1.3305868105962873
879,1.423122183419764
880,1.421237150207162
881,1.6302644051611423
882,6.084769172593951
883,1.5286268284544349
884,1.412474961951375
885,1.3446520334109664
886,1.3300233939662576
887,1.5255729984492064
888,1.734516404569149
889,1.6304050367325544
890,1.4263601619750261
