row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,true_label
2037,followers_count,0,,,0.9509922096633139,0.9995859135831661,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,3047.0,0.9996719160104987,-1.0,3047.0,0.0,8.022240916806537,0.0,1.0,1573.0,0.0,0
2040,followers_count,0,,,0.9509922096633139,0.9998279855302649,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,1021.0,0.9990215264187867,-1.0,1021.0,0.0,6.92951677076365,0.0,1.0,35.0,0.0,0
2085,followers_count,0,,,0.9509922096633139,0.9999891927676814,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,135.0,0.9926470588235294,-1.0,135.0,0.0,4.912654885736052,0.0,1.0,442.0,0.0,0
2100,followers_count,0,,,0.9509922096633139,0.9999599196344721,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,616.0,0.9983792544570502,-1.0,616.0,0.0,6.424869023905388,0.0,1.0,2616.0,0.0,0
2185,followers_count,0,,,0.9509922096633139,0.9999804742631553,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,417.0,0.9976076555023924,-1.0,417.0,0.0,6.035481432524756,0.0,1.0,2068.0,0.0,0
2196,followers_count,0,,,0.9509922096633139,0.9998674315414263,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,96.0,0.9896907216494846,-1.0,96.0,0.0,4.574710978503383,0.0,1.0,3271.0,0.0,0
2201,followers_count,0,,,0.9509922096633139,0.9999938034408825,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,1.0,0.5,-1.0,1.0,0.0,0.6931471805599453,0.0,1.0,1.0,0.0,0
2202,followers_count,0,,,0.9509922096633139,0.999802015681379,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,2643.0,0.9996217851739788,-1.0,2643.0,0.0,7.880048200971577,0.0,1.0,1367.0,0.0,0
2225,followers_count,1,,,0.9623077561610686,0.9233482852191204,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,198830.0,0.13788239601782493,-1.0,1442025.0,1243195.0,14.18155962717766,14.033196041087127,1.0,535.0,321.0,0
2229,followers_count,0,,,0.9509922096633139,0.9999860055237908,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,53.0,0.9814814814814815,-1.0,53.0,0.0,3.9889840465642745,0.0,1.0,2415.0,0.0,0
2274,followers_count,0,,,0.9509922096633139,0.9999808997447426,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,18.0,0.9473684210526315,-1.0,18.0,0.0,2.9444389791664403,0.0,1.0,855.0,0.0,0
2309,followers_count,0,,,0.9509922096633139,0.9997983565397279,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,4991.0,0.9997996794871795,-1.0,4991.0,0.0,8.515591910049263,0.0,1.0,2326.0,0.0,0
2347,followers_count,0,,,0.20643537909084586,0.5546384043675932,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,195971.0,0.01596160633033246,-1.0,12277648.0,12081677.0,16.32329101284307,16.30720064810899,1.0,310.0,289.0,0
